
# ALGORITHM_SETUP
# algorithm: hc
# algorithm(class): aitoa.algorithms.HillClimber
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
,list( list(job=1L,start=0L,end=41L)
,list(job=18L,start=41L,end=77L)
,list(job=14L,start=77L,end=107L)
,list(job=9L,start=118L,end=162L)
,list(job=3L,start=162L,end=210L)
,list(job=16L,start=232L,end=277L)
,list(job=5L,start=277L,end=301L)
,list(job=15L,start=301L,end=328L)
,list(job=6L,start=328L,end=377L)
,list(job=4L,start=390L,end=404L)
,list(job=11L,start=618L,end=648L)
,list(job=12L,start=666L,end=677L)
,list(job=7L,start=677L,end=703L)
,list(job=8L,start=703L,end=749L)
,list(job=10L,start=749L,end=774L)
,list(job=19L,start=844L,end=868L)
,list(job=13L,start=868L,end=909L)
,list(job=17L,start=909L,end=938L)
,list(job=2L,start=1085L,end=1111L)
,list(job=0L,start=1111L,end=1141L)
)
,list( list(job=14L,start=0L,end=24L)
,list(job=8L,start=34L,end=67L)
,list(job=15L,start=67L,end=102L)
,list(job=12L,start=102L,end=139L)
,list(job=1L,start=139L,end=154L)
,list(job=16L,start=154L,end=196L)
,list(job=0L,start=196L,end=211L)
,list(job=5L,start=211L,end=227L)
,list(job=4L,start=231L,end=273L)
,list(job=9L,start=273L,end=322L)
,list(job=18L,start=322L,end=349L)
,list(job=10L,start=355L,end=387L)
,list(job=13L,start=387L,end=398L)
,list(job=2L,start=469L,end=503L)
,list(job=19L,start=575L,end=623L)
,list(job=17L,start=623L,end=667L)
,list(job=7L,start=703L,end=740L)
,list(job=6L,start=821L,end=864L)
,list(job=3L,start=864L,end=881L)
,list(job=11L,start=881L,end=923L)
)
,list( list(job=11L,start=37L,end=86L)
,list(job=16L,start=97L,end=131L)
,list(job=7L,start=131L,end=177L)
,list(job=14L,start=177L,end=187L)
,list(job=3L,start=210L,end=256L)
,list(job=2L,start=256L,end=303L)
,list(job=0L,start=303L,end=344L)
,list(job=18L,start=349L,end=395L)
,list(job=6L,start=395L,end=411L)
,list(job=15L,start=411L,end=452L)
,list(job=1L,start=452L,end=468L)
,list(job=9L,start=569L,end=580L)
,list(job=19L,start=623L,end=661L)
,list(job=17L,start=667L,end=690L)
,list(job=10L,start=699L,end=743L)
,list(job=4L,start=743L,end=784L)
,list(job=12L,start=830L,end=851L)
,list(job=8L,start=851L,end=899L)
,list(job=5L,start=976L,end=1021L)
,list(job=13L,start=1073L,end=1086L)
)
,list( list(job=8L,start=92L,end=138L)
,list(job=17L,start=193L,end=213L)
,list(job=14L,start=222L,end=250L)
,list(job=0L,start=253L,end=270L)
,list(job=4L,start=273L,end=305L)
,list(job=16L,start=305L,end=340L)
,list(job=10L,start=340L,end=355L)
,list(job=12L,start=355L,end=384L)
,list(job=3L,start=391L,end=416L)
,list(job=11L,start=416L,end=451L)
,list(job=6L,start=455L,end=475L)
,list(job=7L,start=568L,end=593L)
,list(job=15L,start=676L,end=690L)
,list(job=18L,start=690L,end=714L)
,list(job=5L,start=762L,end=774L)
,list(job=2L,start=775L,end=790L)
,list(job=1L,start=808L,end=827L)
,list(job=13L,start=953L,end=993L)
,list(job=19L,start=993L,end=1037L)
,list(job=9L,start=1037L,end=1083L)
)
,list( list(job=19L,start=0L,end=45L)
,list(job=4L,start=71L,end=119L)
,list(job=11L,start=326L,end=341L)
,list(job=15L,start=341L,end=368L)
,list(job=7L,start=374L,end=422L)
,list(job=9L,start=469L,end=496L)
,list(job=14L,start=496L,end=540L)
,list(job=1L,start=540L,end=555L)
,list(job=6L,start=555L,end=591L)
,list(job=2L,start=610L,end=647L)
,list(job=13L,start=647L,end=677L)
,list(job=17L,start=690L,end=714L)
,list(job=5L,start=714L,end=762L)
,list(job=12L,start=762L,end=795L)
,list(job=3L,start=881L,end=925L)
,list(job=10L,start=925L,end=936L)
,list(job=18L,start=936L,end=955L)
,list(job=16L,start=955L,end=994L)
,list(job=0L,start=994L,end=1024L)
,list(job=8L,start=1075L,end=1112L)
)
,list( list(job=8L,start=0L,end=34L)
,list(job=14L,start=187L,end=222L)
,list(job=12L,start=222L,end=233L)
,list(job=18L,start=274L,end=320L)
,list(job=3L,start=331L,end=376L)
,list(job=10L,start=387L,end=405L)
,list(job=9L,start=405L,end=433L)
,list(job=0L,start=433L,end=459L)
,list(job=19L,start=536L,end=575L)
,list(job=15L,start=575L,end=612L)
,list(job=16L,start=612L,end=655L)
