
# ALGORITHM_SETUP
# algorithm: hc_rs_16384
# algorithm(class): aitoa.algorithms.HillClimberWithRestarts
# failsBeforeRestart: 16384
# failsBeforeRestartStrategy: 16384
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
{ 7, 1057, 1117, 47, 1117, 1203, 5, 1205, 1234, 36, 1234, 1264, 19, 1398, 1433, 37, 1433, 1524, 14, 1524, 1607, 49, 1607, 1659, 17, 1666, 1691, 9, 1691, 1760, 38, 1760, 1835, 28, 1858, 1903, 27, 1903, 1911, 1, 1911, 1989, 44, 1989, 2027, 31, 2027, 2063, 40, 2063, 2103, 16, 2103, 2144, 2, 2144, 2158, 46, 2158, 2207, 15, 2207, 2224, 45, 2224, 2238, 11, 2238, 2327, 18, 2327, 2368, 20, 2368, 2447, 6, 2447, 2470, 0, 2470, 2521, 21, 2521, 2603, 33, 2603, 2618, 10, 2618, 2660, 23, 2660, 2748, 24, 2748, 2840, 4, 2840, 2879, 39, 2879, 2945, 43, 2945, 2968, 26, 2968, 3038, 22, 3038, 3132, 32, 3132, 3198, 3, 3198, 3276, 13, 3276, 3298, 41, 3298, 3317, 8, 3317, 3332, 30, 3332, 3415, 12, 3415, 3500, 35, 3500, 3539, 42, 3539, 3626, 29, 3626, 3682, 25, 3682, 3771, 48, 3771, 3781, 34, 3781, 3850},
{ 14, 813, 858, 47, 1203, 1228, 37, 1228, 1234, 49, 1440, 1452, 2, 1452, 1501, 7, 1501, 1590, 45, 1590, 1632, 39, 1780, 1790, 18, 1818, 1868, 44, 1868, 1906, 17, 1906, 1992, 5, 1992, 2006, 40, 2006, 2014, 20, 2014, 2042, 8, 2042, 2135, 11, 2146, 2169, 19, 2169, 2191, 4, 2191, 2270, 28, 2270, 2329, 3, 2329, 2342, 21, 2342, 2375, 48, 2375, 2471, 43, 2471, 2502, 27, 2502, 2528, 15, 2528, 2563, 23, 2563, 2627, 6, 2627, 2672, 32, 2672, 2713, 22, 2713, 2731, 9, 2731, 2778, 1, 2778, 2808, 35, 2808, 2867, 34, 2867, 2920, 24, 2920, 3003, 41, 3003, 3050, 29, 3050, 3114, 26, 3114, 3118, 30, 3118, 3203, 42, 3203, 3212, 10, 3212, 3312, 12, 3312, 3350, 16, 3350, 3431, 33, 3450, 3539, 0, 3539, 3631, 36, 3631, 3651, 25, 3651, 3662, 46, 3662, 3667, 38, 3667, 3671, 13, 3751, 3758, 31, 3758, 3807},
{ 15, 1029, 1107, 5, 1107, 1205, 47, 1228, 1327, 19, 1327, 1398, 21, 1398, 1426, 38, 1426, 1498, 37, 1524, 1572, 14, 1607, 1664, 49, 1664, 1713, 36, 1713, 1783, 28, 1783, 1858, 35, 1858, 1872, 2, 1872, 1931, 39, 1931, 2019, 7, 2019, 2044, 18, 2044, 2073, 44, 2073, 2124, 11, 2128, 2146, 8, 2146, 2223, 20, 2223, 2315, 30, 2315, 2348, 4, 2348, 2429, 0, 2429, 2440, 3, 2440, 2533, 48, 2533, 2612, 24, 2612, 2685, 41, 2685, 2726, 43, 2726, 2788, 25, 2788, 2860, 22, 2860, 2953, 46, 2953, 2984, 32, 2984, 3019, 13, 3019, 3068, 42, 3068, 3135, 34, 3135, 3148, 27, 3148, 3154, 1, 3154, 3247, 16, 3247, 3279, 31, 3279, 3369, 6, 3369, 3408, 33, 3408, 3450, 26, 3450, 3518, 40, 3518, 3588, 12, 3588, 3623, 45, 3623, 3694, 10, 3694, 3726, 17, 3726, 3761, 9, 3761, 3783, 23, 3783, 3849, 29, 3849, 3861},
{ 37, 1073, 1113, 2, 1350, 1360, 15, 1360, 1380, 14, 1380, 1388, 44, 1388, 1453, 49, 1453, 1498, 36, 1498, 1519, 38, 1519, 1580, 47, 1580, 1605, 1, 1715, 1732, 21, 1732, 1783, 19, 1783, 1792, 18, 1868, 1967, 45, 1967, 1977, 28, 1977, 2015, 4, 2015, 2059, 30, 2071, 2127, 35, 2127, 2155, 31, 2155, 2164, 43, 2185, 2199, 17, 2199, 2290, 0, 2290, 2364, 33, 2364, 2421, 8, 2421, 2511, 10, 2511, 2552, 32, 2576, 2667, 22, 2667, 2696, 48, 2696, 2764, 26, 2764, 2819, 39, 2819, 2840, 11, 2840, 2893, 12, 2893, 2978, 9, 2978, 3025, 3, 3025, 3075, 16, 3075, 3160, 25, 3160, 3236, 5, 3236, 3262, 29, 3262, 3293, 42, 3293, 3311, 46, 3311, 3380, 24, 3380, 3422, 6, 3422, 3511, 34, 3511, 3581, 41, 3581, 3603, 40, 3603, 3638, 27, 3638, 3644, 23, 3644, 3736, 13, 3736, 3751, 7, 3751, 3848, 20, 3848, 3858}})

if(!(require("plotteR"))){
if(!(require("devtools"))){
install.packages("devtools");
library("devtools");
};
devtools::install_github("thomasWeise/plotteR");
library("plotteR");
};
plot.gantt(list(
 list( list(job=1L,start=0L,end=92L)
,list(job=14L,start=92L,end=102L)
,list(job=34L,start=102L,end=135L)
,list(job=27L,start=135L,end=230L)
,list(job=19L,start=230L,end=330L)
,list(job=35L,start=330L,end=345L)
,list(job=38L,start=345L,end=367L)
,list(job=15L,start=367L,end=454L)
,list(job=41L,start=454L,end=548L)
,list(job=4L,start=548L,end=572L)
,list(job=21L,start=572L,end=612L)
,list(job=36L,start=612L,end=654L)
,list(job=47L,start=654L,end=658L)
,list(job=37L,start=658L,end=673L)
,list(job=43L,start=673L,end=748L)
,list(job=7L,start=748L,end=799L)
,list(job=9L,start=799L,end=840L)
,list(job=28L,start=840L,end=924L)
,list(job=8L,start=924L,end=971L)
,list(job=11L,start=971L,end=1036L)
,list(job=5L,start=1036L,end=1051L)
,list(job=45L,start=1051L,end=1084L)
,list(job=44L,start=1084L,end=1159L)
,list(job=6L,start=1159L,end=1204L)
,list(job=0L,start=1204L,end=1205L)
,list(job=17L,start=1205L,end=1241L)
,list(job=16L,start=1241L,end=1297L)
,list(job=2L,start=1297L,end=1350L)
,list(job=12L,start=1350L,end=1408L)
,list(job=49L,start=1408L,end=1440L)
,list(job=40L,start=1440L,end=1516L)
,list(job=18L,start=1516L,end=1525L)
,list(job=20L,start=1525L,end=1585L)
,list(job=30L,start=1585L,end=1607L)
,list(job=10L,start=1607L,end=1642L)
,list(job=39L,start=1642L,end=1725L)
,list(job=46L,start=1725L,end=1769L)
,list(job=31L,start=1769L,end=1790L)
,list(job=13L,start=1790L,end=1848L)
,list(job=32L,start=1848L,end=1864L)
,list(job=25L,start=1864L,end=1912L)
,list(job=3L,start=1912L,end=1985L)
,list(job=48L,start=1985L,end=2011L)
,list(job=29L,start=2011L,end=2040L)
,list(job=22L,start=2040L,end=2075L)
,list(job=33L,start=2152L,end=2194L)
,list(job=26L,start=2194L,end=2264L)
,list(job=24L,start=2264L,end=2296L)
,list(job=42L,start=2296L,end=2378L)
,list(job=23L,start=2378L,end=2456L)
)
,list( list(job=2L,start=0L,end=44L)
,list(job=7L,start=44L,end=74L)
,list(job=44L,start=74L,end=116L)
,list(job=5L,start=116L,end=148L)
,list(job=40L,start=148L,end=212L)
,list(job=6L,start=212L,end=271L)
,list(job=9L,start=271L,end=339L)
,list(job=20L,start=339L,end=420L)
,list(job=45L,start=420L,end=483L)
,list(job=47L,start=483L,end=517L)
,list(job=31L,start=517L,end=579L)
,list(job=15L,start=579L,end=666L)
,list(job=14L,start=666L,end=743L)
,list(job=37L,start=743L,end=763L)
,list(job=49L,start=763L,end=810L)
,list(job=38L,start=810L,end=887L)
,list(job=36L,start=887L,end=944L)
,list(job=32L,start=944L,end=987L)
,list(job=21L,start=987L,end=1028L)
,list(job=35L,start=1028L,end=1052L)
,list(job=19L,start=1052L,end=1116L)
,list(job=10L,start=1116L,end=1216L)
,list(job=1L,start=1216L,end=1292L)
,list(job=41L,start=1292L,end=1337L)
,list(job=39L,start=1337L,end=1419L)
,list(job=28L,start=1419L,end=1436L)
,list(job=4L,start=1436L,end=1438L)
